Sentence	Hyp_2	True_Label	Prediction
"I'd have to be at the camp w- with my leader- my instructor rather, by seven thirty.
"	0	0	0
"But I did it because everybody else was doing it, and, who wants to be the only, you know,  so I followed.
"	0	0	0
"I do a lot weird things I'm not supposed to be doing.
"	0	0	0
"And then from there on it would be tag, and then he would- he would come and catch the others and tag them.
"	0	0	0
"Then they would be it too, and they'd find the others eventually.
"	0	0	1
"Uh and he used his power, and whenever say, he would think about a person, whenever he- he would get really angry or concerned about uh, what somebody say had done to him, he could think about that, and this person would be in some way, killed.
"	1	0	0
"And uh Rod Steiger was the um, was the sheriff of that, of that town, and they got three or four men who they believed to be the uh, killer, and they were all all wrong.
"	0	0	0
"She'll be working a problem, then she'll forget to do something, and then she'll have to stand there, look at the whole problem for about five minutes before she can figure out what she's done wrong.
"	0	0	0
"And one day the students um, a few students, uh got to the uh Chemistry room early, and they set the alarm clock and hid it, and, it w- it was supposed to go off right in the middle of class, and it was hidden in such a place it would be hard to find, and it would distract the whole class for about five or ten minutes.
"	1	0	1
"Uh and he was always very domineering in his uh class, and in some cases he was just downright stupid, in be - in being that uh that- that pushy with his students.
"	1	0	0
"So it was uh Well uh, in uh, the uh tag game for example, it would be the one who could uh run the fastest.
"	1	0	1
"And um usually one of those two would be the leader in that case, since it was their territory.
"	0	0	1
"There are, there are, it would be a few things that I'd like to get which would require quite a bit of money.
"	0	0	0
"What I'd like to get would be a uh a castle in, on Scottish Moor or something.
"	0	0	0
"Um and perhaps an expensive sports car, but besides that I'd be lost.
"	0	0	1
"Could be useful if there was anything else I guess.
"	0	0	1
"Um, and I'll be using it uh this summer.
"	0	0	0
"I have a job this summer which requires uh a lot of my time but if I can shoot every day after my job, I'll be happy.
"	0	0	0
"Um I'm sure if I could think hard enough there would be something that's happened in which there was the possibility of, of uh hm.
"	1	0	1
"Well Indian ball was um a game where there was one person at bat and he would hit the ball out into the field of others there m- maybe six or seven standing out and um they- if you caught the ball on a pop fly then it was your turn to be at bat.
"	1	0	1
"Um chemistry I guess would probably be my favorite, but right now I'm very bored with school and so uh I have no particular favorite.
"	0	0	0
"Um a lot of my teachers have been very good but haven't been able to be really outstanding teachers in the eyes of other people because of the situations in which they had to teach.
"	0	0	0
"Well, now that I've been pushed into this our white society, I wanna  go to the college, make a lot of money and be rich, and Mm-hm.
"	1	0	0
"I'd be really interested i- in in working there.
"	0	0	0
"But um, if I consider graduate school which will probably be necessary, um, I should imagine it would take somewhere in the neighborhood of six or seven years of school.
"	0	0	0
"Uh that's a very hard question because I- I tend to be idealistic about money because here again it's the situation that I'm in.
"	0	0	1
"And I- I'd be shut off fr- from the outer world just like- just like they would.
"	1	0	0
"I think it would be bad for me to have all that money.
"	0	0	0
"And you don't- as being black I really don't fit in like um you'd- one would be led to believe.
"	1	0	0
"It- it takes a lot of money for a school like Friends just not only to pay the tuition and the books and the lunches and so forth, but just socially because it's uh- The things that- that emph- That are socially acceptable or that the way that the school is socially oriented i- there's l- necessity for a great deal of money and pocket money and so this is gonna be another thing, I h- I'll help my parents as much as I can.
"	1	0	0
"And you have to be it all over again.
"	0	0	0
"Well they have iron tag, as soon as you got on something iron you couldn't be tagged it cause iron was the base.
"	0	0	0
"Or they'll be breaking into a safe you know.
"	0	0	1
"Sometime the men would chase you and it was always fun to be chased by somebody.
"	0	0	1
"Used to be fights all the time on my street.
"	1	0	0
"Yeah that was my sixth grade teacher Mr. Johnpeter, he was the only man in school he was so cool, because during the morning, that's be the only time we studying and we study mostly math you know, and English.
"	1	0	0
"It used to be me but I stopped growing.
"	0	0	0
"You know just be a buddy you know.
"	0	0	0
"Mm I wanna- I wanna um, be a engineer or something like that, go into chemistry or physics, something like that.
"	0	0	1
"I thought I might wanna be a chemistry- chemis- chemical engineer at one point or electrical engineer you know something like that.
"	0	0	1
"So everybody would be happy.
"	0	0	0
"I just sit there and be quiet and say, if I'm gonna win I'm just gonna win you know.
"	0	0	1
"Well, generally we play uh, playground ball and we don't have a referee and play- uh, make him take the- you know uh, whoever make the point well they- they take out in the- It's- s- it's different than uh, when you have a referee cause uh, you know, every- you have to be your own judge and generally that's about it.
"	1	0	1
"Her parents I believe uh, I really couldn't speak cause I don't know how you know generally white people are but uh, I believe- from what I you know, interpret them to be they was about as good of parents as you'll find they- they reacted uh, as I guess the regular parents would to the situation.
"	1	0	0
"And sometime it doesn't turn out to be as good as I expected.
"	0	0	1
"So uh, if I hear about a movie I g- you usually judge by the uh, players that's gonna be in it.
"	1	0	1
"And uh, you know, just just you know- just to have it for the education and secondly uh, from what I understand you know really get a uh, you know, respectable job you know one in which you can uh, be satisfied with or content with.
"	1	0	0
"It might not be ho- loud to you, though.
"	0	0	0
"Why  She was uh, sh- seemed to be you know, closer to the students and uh, seemed more likeable person and everything uh, she teach school for a long time.
"	1	0	0
"What do you- what is it about the- about the four of you that uh, brings together to be closer?
"	1	0	0
"Does it take a- an athlete or uh, intelligence to be the leader?
"	0	0	1
"Takes a little of both I guess be a leader.
"	0	0	1
"And uh- Are you good at it or- I like math but uh, I couldn't- I don't know, all my teachers tell me I could be good at it but I don't apply myself.
"	1	0	1
"Um, well you told me already what you wanna be when you finish school.
"	0	0	1
"I guess they'll be coming out.
"	0	0	0
"Well every time you hit the ball though it's not gonna be a home run is it?
"	0	0	0
"Uh do you-  how do you uh, pick which one's gonna be it?
"	0	0	1
"How do you know which one of the group is gonna be the first?
"	0	0	0
"Um, did you ever- You know uh, when I was trying to get you to- to say your rhymes, sometimes when you know kids will put their feet in, they go around like this you know and say something like, eenie meenie miney moe you know to pick which one is gonna be it or Mm-hm.
"	1	0	0
"Um, I remember one particular incident um,  they was supposed visit this old house and um, the house was supposed to be haunted.
"	0	0	0
"But she's trying to be quiet.
"	0	0	0
"So she said, I just wish you could turn black, so you could see what it's like to be black.
"	0	0	1
"I'd sit there and pretend like I took it out and I'd still be chewing all the while and she'd yell at me for that.
"	0	0	0
"And uh, she just wasn't interested in teaching, she'd come in you know, She'd ha- it seemed like she just had this attitude, she didn't wanna be there in the first place.
"	1	0	1
"And uh, I like people from different countries, I don't like to hang around with any particular clique as such, you know I think for a person to grow you need to be exposed to a variety of people as such, you know.
"	1	0	0
"Uh, well my next question's supposed to be  do any of the people in the group speak a foreign language?
"	0	0	1
"Which one of you seems to be the- the spokesman or the one that the others- other two listens to?
"	0	0	1
"Regardless of the situation, I mean she can always think of something funny to say about it you know she says, well I'm not gonna be bothered with that girl you know or something.
"	1	0	0
"You were just to be a lady at all times and uh, as a consequence like I say when I went to Mott I uh, had to learn these things.
"	0	0	1
"Be a teacher, yeah.
"	1	0	0
"Have you ever wanted to be something else?
"	0	0	0
"Mm, ever since I can remember I've wanted to be a teacher.
"	0	0	0
"Before I wanted to be an elementary school teacher and then when I got in high school um, I developed an interest in art.
"	0	0	0
"So I decided to change and be a art teacher.
"	0	0	1
"We usually have a quiet Christmas um, I have quite a few relatives, but some of them you know you just don't wanna be bothered with.
"	0	0	0
"Um, were you ever in a situation where you thought you might be killed or that you might die?
"	0	0	1
"No not really die as such where I'd be dead, no.
"	0	0	0
"That machine couldn't possibly be on .}
"	0	0	0
"It would be someone would call, first, second, something like that.
"	0	0	0
"And whoever was last in uh, calling the places would be it.
"	0	0	0
"I'd be very happy to.
"	0	0	0
"In other words, one day I may be with uh,  say the people who lived in my immediate area.
"	0	0	0
"And then another day I might be with uh, people that I- I knew from school or people that I had met through other people.
"	0	0	1
"I'd be with them.
"	0	0	0
"be it right or wrong.
"	0	0	0
"In order to be accepted into their group?
"	0	0	0
"Well, as far as I was concerned, they really didn't have to do anything except be themselves, and if I didn't like what they were Mm-hm.
"	1	0	0
"Um, if you could do it all over again, would um, there be anything in your life that you would change?
"	0	0	0
"I went to uh, a college here in the city, and I think uh, the only thing about that that I would change would be that I would have gone out of town.
"	0	0	0
"But I- I just feel that it's necessary, and I feel that there is nothing, absolutely nothing that can be done until the entire educational system in Washington DC is completely destroyed and rebuilt.
"	0	0	0
"Um, when you were younger what did you wanna be when you grew up?
"	0	0	0
"Well I fluctuated um, back and forth between wanting to be a teacher and a nurse.
"	0	0	0
"inaudible And um- Yes, it could be a lot better Mm-hm.
"	1	0	0
"This is another reason why I say the system needs to be destroyed.
"	0	0	1
"And uh, as long as we have people who um, are understanding, or at least who attempt to understand the problems that these kids have, the program will be a success.
"	0	0	0
"And you'd be surprised at how many children don't have the bare necessities as far as food is concerned.
"	0	0	1
"Um, were you ever in a situation where you thought you might die or you might be killed?
"	0	0	0
"You've got to be joking.
"	0	0	0
"She- she's seems to be pretty good at it.
"	0	0	1
"He would be with a patient, and then that red light would come on, and he'd have to go to the president.
"	0	0	0
"and she would be very willing to help you.
"	0	0	0
"Or somebody would be at some different one, or we'll try this one, this- this one sounds more interesting.
"	1	0	0
"And they want them to all be owned by colored people.
"	0	0	0
"And then if- to me, I really- from what I heard on the radio and the television and everything- I came down here that Saturday after the riots, and I thought this place was gonna be in shambles Mm-hm.
"	1	0	1
"Um,  well you divide into two teams and- and one team would be against the other team and we had a park right across the street from our houses and we usually played very rough.
"	1	0	1
"We- I- I- I was going to tell you about that, we played some game  uh, there was a devil and the devil would tell what type of or what kind of pie he wanted and that particular pie would run from the devil and then if the devil caught him then he'd have to be the devil.
"	1	0	0
"But uh, when we were going to church and we'd have programs, and we played little miss muffin sit on a tuffin eating her Christmas pie, along came the spider and sat down beside her and frightened miss muffin away, and I used to be little miss muffin and when the spider came down I would have to jump up and scream and run away.
"	1	0	0
"Could be a dance, uh, if your class was jumping rope you'd jump rope.
"	0	0	1
"When I went to kindergarten, when I was a little girl and everyone said, Jerria what do you wanna be?
"	0	0	0
"I said, I wanna be a teacher.
"	0	0	1
"I just instinctively went into college to be a teacher.
"	0	0	1
"I- you know I'd finish my work and I would just be bored and I would talk my head off, and she'd say, she does her work but she talks.
"	0	0	0
"We just cut up and she said, well you know Santa Claus isn't going to give you anything this year because uh, you can't even be good until he gets the things under the tree.
"	0	0	0
"And the person who completed or went all the way up to ten without stepping on lines- on the lines and back would be the winner.
"	0	0	0
"Well of course you- The last person to reach the tree or the given spot would be it.
"	0	0	0
"And he would hide his face and go through a rhyme, ha- And to give everybody a chance to hide and uh- course the last person- no the first person caught would be it.
"	1	0	0
"Do they have to be in order?
"	0	0	1
"And I always wanted to be a teacher.
"	0	0	0
"Of course you would go home to change your clothes and be ready to come out and play.
"	0	0	0
"And I could be a class clown at times.
"	0	0	0
"I don't think so I think I'd still rather be a teacher.
"	0	0	0
"And a nice recreation room of course, but uh, there are two main things I look for, a bathroom and a kitchen to be large and a- Well then there's a third thing.
"	1	0	0
"Well I should say the house should be large.
"	0	0	1
"And usually they are with me about ten minutes unless they happen to be my first hour class.
"	0	0	0
"And I pick up my daughter after school from a nursery school even though she goes to public school, because I have to be at school so much earlier than she does.
"	0	0	0
"And if I happen to have any papers that need to be graded.
"	0	0	0
"I say that that- whether I believe it or not I don't know, I try to look at life that way that- Well as far as death is concerned I say well, we're all going to die and I try to look at it in that way that when it's our time that's the way it'll be.
"	1	0	0
"Oh yes, we used to flip cards um- It used to be about five of us in a game, and we'd try to see who get the most cards in the hat.
"	0	0	1
"I think there should be more educational programs on television.
"	0	0	1
"She wanted to be a star.
"	0	0	0
"But when his wife died, he told Scarlet that he couldn't uh- He loved his wife, and it would never be anything between them.
"	0	0	0
"And ask- ask a good friend of mine uh, to be my best man, and then make preparations, reservations on the planes and uh, hotel reservations.
"	0	0	1
"Well,  when I was in grade school, I used to have to come home every day and be home by three thirty.
"	0	0	0
"It just happened to be one of the those times when I wasn't talking, so I got up and moved to the back of the room.
"	0	0	1
"They just- they seemed to be hostile.
"	0	0	1
"Well- As far as being- wanting to be uh,  a programmer or a, data uh, processing analysis, I wouldn't.
"	1	0	1
"I probably would get myself an insurance policy, just in case something happened to me, I want my wife and my children to be uh, taken care of.
"	0	0	1
"It would be either Thanksgiving at my in laws and Christmas over my parents, or vice versa.
"	0	0	0
"I don't-  I don't recall how he was chosen to be it.
"	0	0	1
"Now if the person didn't beat the person who was it back to the can, then he would be in jail.
"	0	0	0
"So it- it- it could be a pretty rough spot for a person who was it who couldn't run too fast.
"	0	0	0
"And the way that um, another person became it was that if the person who was it caught everybody, the first person who had gotten caught he would be the person who was it.
"	0	0	0
"And he was going around splurging, and he had been warned by his wife  Alice not to be too hasty in spending the money.
"	0	0	1
"A lot of people running around with false values I guess you might say, not really knowing what they should be doing.
"	0	0	0
"And he expected you to be able to tell exactly what was in the story, and he would ask you what was the theme and what was the significance of this particular character, and all that type of stuff.
"	0	0	1
"And uh, I expected her to be not so nice because she was pretty I guess.
"	0	0	0
"Um, what- In this group was um, there anyone that seemed to be a leader that everyone seemed to listen to?
"	0	0	1
"Um, why did this person seem to be the leader?
"	0	0	0
"If you want- If someone new came into town and they wanted to be a good friend of yours, what would they have to do?
"	0	0	0
"And what would they have to be like?
"	0	0	0
"But beyond that uh, I would say no he'd have to be a pretty uh, reliable person.
"	0	0	1
"Um, when you were younger what did you want to be when you grew up?
"	0	0	1
"Um, did your parents want you to be anything particular?
"	0	0	1
"They just wanted me to be good at something.
"	0	0	0
"Um, were you in a si- in a situation where you thought you might be killed or you might die?
"	0	0	0
"Well um, the person that was seeking the people they counted to a certain number and uh the other p- people uh they hid and the last man that uh was found, was supposed to be the winner of the- that- that particular game you know.
"	0	0	0
"Not really but uh she thought it to be.
"	0	0	0
"Well um in this- well was it just an informal group I understand that but say if someone completely new came in and they wanted to you know hang around with the rest of you, what would this person have to be like?
"	0	0	0
"Um if you could do it all over again, would there be anything in your life that you'd like to change?
"	0	0	0
"Mm, maybe I might uh be more inclined to have finished college.
"	0	0	0
"When you were younger what did you want to be when you grew up?
"	0	0	0
"So I'd build a college that uh would hold or would uh educate many people, I mean thousands of people, and then I'd be very satisfied with money in the bank and enough of the world nourishments for me.
"	0	0	1
"Um for Christmas this year, I think I might be satisfied w- with uh maybe uh a suit or two and a car of the coming year.
"	0	0	1
"Um were you ever in a situation where you thought you might be killed or you might die?
"	0	0	1
"Well I'm not a churchgoer but at one time I was uh about to be killed or could have been killed, uh while in a tractor-trailer but for some reason or another I screamed out all at once for the lord  and uh at that very time I thought that I might die.
"	1	0	1
"for instance uh should I think that I would be killed at a certain moment I could- or at a certain street corner at a certain time I could very well lock myself into a room until this time has passed and predestiny is shot all through.
"	0	0	0
"Uh, well, McHale's Navy last night, uh, a little Japanese girl who thought she would be put in an orphanage, was uh, sort of like a stowaway on McHale's Navy.
"	0	0	0
"So, and she was calling all the men uncle, and um, McHale was about to be court marshaled by Captain Binghamton, and uh, course was it was eventually straightened out in the end.
"	0	0	0
"Um, and there are quite a few things to be done with these registrations so that uh- so that you don't work on any one particular thing all day long.
"	0	0	0
"Um, making registration cards, answering mail, uh, you have quite a few long distance phone calls, and um, quite a few things to be done.
"	0	0	0
"And course, there's all the foods to be prepared, uh, before Christmas.
"	0	0	0
"And of course, uh, if you can make it back to the tree, I- I might be wrong.
"	0	0	0
"Um, if you make it back to the tree before the person that uh, um, you find, you um, that person will be it next time.
"	0	0	1
"Um, most of the time, as far as I can remember, uh, it was more fun to hide than it was to be it.
"	0	0	0
"be - Use the uh, medicine ball I guess you call it.
"	1	0	0
"Jonathan Winner- Winters, that uh, I watch mainly because uh, someone else is watching them and I happen to be there.
"	0	0	1
"I don't know whether you remember seeing this or not but it was case of a woman who, her husband happened to be a police man .
"	0	0	0
"I don't know why I remember this one so well, but her husband happened to be a police man.
"	0	0	1
"My children always uh, give me a hard time about feeding him the same old thing, but he eats it, and he seems to be thriving off of it, so we- Yeah, well he had some kidney damage some years ago.
"	1	0	0
"The same general things that they seem to be having in school now.
"	0	0	0
"Maybe they do, but th- they seem to be a little more- The type of fighting that we did generally, as far as I could see, was, as I said, uh taking care of something that you couldn't do during school time, and that was the end of it.
"	1	0	0
"But now, they seem to be a little rougher than we were.
"	0	0	0
"But now, they seem to be - I don't know whether they learn more from television or just what it is.
"	0	0	0
"But when they fight now, from what I've seen, you know, in riding along after school, they seem to be a little more bent on destruction.
"	0	0	0
"But, uh, the second semester- I took it from her again, and the second semester, I had no difficulty- I mean um, I went right through the course, and uh, we got to be great friends.
"	1	0	1
"I think at that particular time, I needed to be struck.
"	0	0	1
"If the teacher had speaked to- If the teacher spoke to you, you were wrong regardless of what you- did- you- It could be the teacher that was wrong  but in this case, as far as my parents were concerned, if the teacher spoke to me, I was wrong.
"	1	0	0
"I stayed out of their way, and uh, just hoped that they would leave me alone generally , but uh, it wasn't the case for, uh- I never hated a teacher, as far as I- Or, disliked a teacher very, you know, that strongly that I wanted to be moved out of the class or felt that oh, I've got to go here another day or something.
"	1	0	1
"But it's just not close as we used to be.
"	0	0	0
"And uh, we used- used to be a group of us that used to play ball together, and um, I remember one fella's name.
"	0	0	0
"But, the- by the same token, I want them to be aware of it.
"	0	0	0
"I don't- I didn't recall whether I'd be in there for any particular reason or not, but uh, anyway, haps- We were talking.
"	1	0	1
"And uh, then we started talking about uh, different things that happened over the years, and some of the incidents that happened down on uh- in that area, and of course he happened to be patrolling the Fourth Street, Rhode Island Avenue and that area now.
"	0	0	0
"Um, my interests- I think that- I've always wanted to um- I used to have a desire to be a um, uh, college professor.
"	1	0	0
"Uh, I don't know whether it's because uh, that I wanted to do things too fast or just what it was, but I think now, as I look back over the years, if I had just spent uh, a concentrated six or seven years in school, that um, possibly I would have- be in a- in this area now.
"	1	0	0
"You may- you might be thinking Audrea?
"	0	0	1
"We have a number of service divisions- service divisions, that send us material, uh, unbound, monographs, uh, periodicals, um, collected works of one kind or another that have to uh, be put or sent to the binders or the processors to determine what type of preservation- what type of uh, binding that they're going to use to preserve this material.
"	1	0	0
"I might be very wrong, uh- I have felt that I just accept this to a certain degree.
"	0	0	0
"We had a number of plans that um, that will, of course will never be fulfilled in that area.
"	0	0	1
"I suppose in some baseball games who was up would be the person who thought of the game first, and you would call out something like, two knocker.
"	0	0	1
"You know, I think it's a little bit uh premature to have some sort of uh dream uh about how the money's going to be spent before you have it or if, yeah.
"	0	0	0
"Yes, I- I thought I might, I didn't think I might die but I thought I would have to be rescued or something serious would happen.
"	0	0	0
"Oh it must be true.
"	0	0	0
"I- I- I- it has to be true- I mean it doesn't do any- it doesn't say anything, but it says, what happens happens.
"	1	0	0
"See, then he'll be ready to kill.
"	0	0	0
"Well there are lots of people went out for the mink hunting, but n- n- That was a little rough because you had to be so particular, you couldn't leave your scent when you set your trap.
"	1	0	0
"Well, I was a little boy then, and I always said to myself then, I said, now when I get that age, I don't d- be able to say those words.
"	0	0	1
"Well, when I was a child, I wanted to be a brick layer.
"	0	0	0
"And I learned to be a brick layer by trade.
"	0	0	0
"Uh- Uh- Well, pencils, paper, a thousand and fifty different phones that you use for local board, they have to be issued.
"	0	0	0
"I don't know wh- I don't know what will be there on this afternoon, but, uh I'll p- I won't see it this afternoon, but I mean I usually look at it on the four thirty, because I have to- I'll have to take the car to the shop you see.
"	1	0	0
"I might go back- go back uh- and it- that particular picture, uh, I thought it would be a lot of comedy, well it was a lot of comedy in it, but there's a lot of serious, uh seriousness to it, too.
"	1	0	1
"They're the ones that uh were real comic in their resistance to the girl be - becoming engaged to this colored man.
"	0	0	0
"Yes, we had a pet once that couldn't be a p- a pet that wasn't a pet.
"	0	0	0
"And uh but uh after school, they'd get a little rough every now and then, but not uh, but uh uh, those days it was to be expected, because uh, because  I like- I don't- I- I never thought of why it was that the uh, well, but while the kids were little different, little- got a little rough coming home from school.
"	1	0	0
"It's- they had to be strict sometimes.
"	0	0	1
"In that case it could be the teacher's fault, you see.
"	0	0	0
"See the- the- that would work on anybody's patience, whether you are a teacher or a nun, whoever you might be, you see.. And so uh, yeah- there were problems in those days, a lot of them.
"	1	0	0
"Yeah,  because you- you can suppose- uh uh uh course you're a w- uh, suppose um, they don't look at it this way, suppose there is a Negro in the neighborhood he gonna move in, and it could be a- a well adjusted person for the neighborhood, but they all white, you see.
"	1	0	0
"He could be more trouble- trouble to the neigh- the- the- neighbors then that Nigger- Negro that they chased out of there, you see.
"	1	0	0
"He's gonna be on his P's and Q's.
"	0	0	1
"So it hasn't- what have to be done about it?
"	0	0	0
"Uh, then I had a teacher when I was in college that I didn't think much of him as a teacher, but he could- he could be good at times, but for the most part, I didn't think much of him as a teacher.
"	0	0	0
"I set out to be a doctor of medicine.
"	0	0	1
"changing his stand, but uh a case there, you know, where Auren told Auren, well un-unless you make this better, there will be no more promotions.
"	1	0	0
"And but of course, uh I wouldn't put it- I wouldn't, uh uh I don't think those colored man should be too naive about what's happening.
"	1	0	0
"give you trouble too and things like that, but- Useless, please use your head, and don't be too much of a hero.
"	1	0	1
"You'll be minus a man.
"	0	0	0
"Said he'd be - He'd take responsibility.
"	0	0	1
"I mean, I could- I'd rather be as- When I was lonely in the house, I didn't have to depend on, you know, on knowing who was approaching the house.
"	1	0	0
"He's can't be all mad when- Oh yeah.
"	0	0	0
"and uh, uh, which I turned out to be you know, a pretty cook.
"	0	0	1
"If you can do it all again, what would you want to be?
"	0	0	1
"Okay, um, what did you hope to be when you were younger?
"	0	0	0
"No, that wasn't my-  wasn't my desire to be any- any uh- type of- I mean you know- man of that sort, but Hm.
"	1	0	1
"Just to be at home with my family.
"	0	0	1
"Um, were you ever in a situation where you thought you might be killed or might die?
"	0	0	0
"I believe uh, I mean, it's w- I could be well today Mm-hm.
"	1	0	1
"First I wanna be a athletic trainer, like phy- do physical therapy with the sports cause I like sports.
"	0	0	1
"It used to be like- like that.
"	0	0	0
"Oh, in they life or whatever the case may be.
"	0	0	0
"Cause I just wanna get, you know, get out of DC like I don't wanna be here.
"	0	0	0
"Don't be around the same people a lot.
"	1	0	1
"Like, it's sposta be for people that live in the DC housing sections.
"	0	0	1
"Okay, and is it like- So you can be any age or is it just teenagers?
"	0	0	0
"And one was here then another one might be somewhere else like Mackenzie, Oh like with different organizations?
"	0	0	0
"So after you do the interviews, it doesn't even matter if you And uh- like didn't do well or what- They're gonna place you where they want you to be.
"	1	0	0
"Oh cause you have to be older to go.
"	0	0	0
"But now you're gonna be in Pennsylvania.
"	0	0	1
"So you can be close.
"	0	0	0
"Yeah, we already got our address and stuff, but like she's supposed to be moving.
"	0	0	0
"But n- soun- Since now I'm gonna move, it- it'd be at the um, the other campus in Largo.
"	1	0	0
"How old- how old you have to be to go there?
"	0	0	1
"Cause- anything could happen at any time, so it could be one day- you never know.
"	0	0	0
"Like, I'm'a be a teacher.
"	0	0	0
"So how's it gonna be when you can't just get on the metro and go somewhere.
"	0	0	1
"Why I look- Like, you know how you just- Cause like, the cashier, you can be like, on the side.
"	1	0	0
"It must be on the side.
"	0	0	0
"That might be my dinner tonight.
"	0	0	0
"That's  And what are the- what- what are the, um, like- like what is it that you- so you moved from Maryland to DC, what is it that you miss from Maryland that they don't- that- that they don't have here in DC, or whatever the case may be?
"	1	0	0
"Well the grading system like, uh, it's- a D- well- well, most likely like a D would have to be like a sixty three.
"	1	0	0
"It's not difficult you just gotta pick the ones you wanna be around with.
"	0	0	0
"But certain carry outs might be nasty you gotta go to certain ones.
"	0	0	1
"Uh, like I think- ke- it j- could be ketchup and, uh, I don't know what's inside but it tastes good.
"	0	0	0
"Like when d- when- A lot of people in DC-  tell me the youngest age you- you ex- you've ever experienced it and heard it or whatever the case may be.
"	1	0	0
"Um, I- I wanna be a pediatric surgeon.
"	0	0	1
"So really, I hope I could make it in the NFL and be real- really successful and share my life with other little kids when I get older.
"	0	0	0
"Like make your dreams- like what- what steps are- are you taking or you could be taking to make that a possibility?
"	0	0	0
"Stay focused in school, don't be a- Get all my work done.
"	1	0	0
"don't be around a lot of people that gonna bring me down or talk about me.
"	0	0	0
"And just even if they talk about me, prove- just stay focused and just work out and be successful in everything you do, don't- never give up on something.
"	1	0	1
"Well I say that too though cause either way- Because the food now that she did that the food has been nasty, and trying- trying to be healthy but it don't look healthy.
"	1	0	0
"Like what could be done to make school safer for any student, any nationality do- they can dress the way they wanna dress, they can do- you know what I mean?
"	1	0	0
"To be honest, I don't know.
"	0	0	0
"So I don't know if school really gonna be safe For other children inaudible for other kids growing up nowadays.
"	1	0	0
"To be honest.
"	0	0	1
"Yeah he alert me to hide or be - get s- get somewhere safe.
"	1	0	0
"I'd rather be with my brothers than anybody else.
"	0	0	0
"I don't care who they are, I'd just rather be with my brothers.
"	0	0	0
"Cause it can ap- it can be applied to anything?
"	0	0	1
"Uh, I mostly just stay on my phone, be stay to myself.
"	0	0	0
"I like to be cool with a lot of people.
"	0	0	1
"And who gonna- And my little brother make me me too because- well all- both of 'em make them me be - make me me because they really- they really mean something to me in my life.
"	1	0	0
"I like to uh, be cool with everybody and like stay to myself sometimes.
"	0	0	0
"Do you feel like you get treated differently because like, you're female or whatever the case may be?
"	0	0	1
"Tell me about the Wizards, why- if I'm a fa- if I'm not a Wizards fan, I don't know nothing about basketball or nothing, tell me why I should be a Wizards fan.
"	0	0	0
"Why should I- why should somebody be a Wizards fan?
"	0	0	0
"Kevin Durant, what do you know- what- how would that be if he came here, if he actually came here?
"	0	0	0
"Uh, that would be the best.
"	0	0	0
"You said that would be the best?
"	0	0	1
"Um, my mom, I'll be her first hou- her first child to graduate from high school and go to college.
"	0	0	0
"And she told me that even if she passed a- even when she passed away, that she will always be there by my side and she'll pull me through every thing- obstacle that I go through even though she's not here with me.
"	1	0	0
"I'll be going home with my mom soon.
"	0	0	0
